author_id,tweet_id,retweet_count,favourite_count,reply_count,quote_count,followers_count,friends_count,statuses_count,access,screen_name,name,description,profile_image_url,user_lang,location,url
2323137780,991102360733745157,65,45,5,3,22751,3835,17009,2018-05-02 14:51:25,HaberRisale,Haber Risale,This address announces the voice of the oppressed. It's like Satan who puts babies in jail. Zalimler için yaşasın cehennem !!!  ‏فلتدم الجهنم للظامين,http://pbs.twimg.com/profile_images/833838892696604672/5FNGaJiY_normal.jpg,tr,,
755390902064078848,991691636999708672,0,0,0,0,199,248,12515,2018-05-02 14:51:25,medoviytort,nomorepain,,http://pbs.twimg.com/profile_images/867465381329469440/L4YFr9fd_normal.jpg,tr,,
975074658331627522,991686033669488640,0,0,0,0,5,46,19,2018-05-02 14:52:15,BayHicDe1,Bay_Hic_De,,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,en,,
1016063701,991691846731649025,0,0,0,0,5772,314,7582,2018-05-02 14:52:15,Umit_Burcundan,IŞIK SÜVARİSİ,Bir KÜSUF DAHA SONA ERERKEN...,http://pbs.twimg.com/profile_images/871831270531248128/PnJTKCu1_normal.jpg,tr,,
869193235918454786,991314489885839360,2213,3767,7,51,62017,0,494,2018-05-02 14:53:16,offensivemem3s_,Offensive Memes,DM me memes - offensive - i own no content posted - DM for removel,http://pbs.twimg.com/profile_images/875464015337730048/Cta3L18Q_normal.jpg,en,,
825016420803235841,991692102588403713,0,0,0,0,66,31,8861,2018-05-02 14:53:16,tmmsantos,Tiago Santos,18y,http://pbs.twimg.com/profile_images/967514306056159232/oTBTZFe0_normal.jpg,pt,"Coimbra, Portugal",
847735496633536512,991433704575852544,21,17,0,0,4861,530,2435,2018-05-02 14:53:49,KurdsCampaign,Kurdistan Solidarity Campaign,"A labour movement and civil society campaign supporting the rights of the Kurdish people to freedom, justice, equality. info@kurdistansolidaritycampaign.org",http://pbs.twimg.com/profile_images/876031458791628801/kIEEuj06_normal.jpg,en,United Kingdom,http://www.kurdistansolidaritycampaign.org/
634806413,991692241004527618,0,0,0,0,292,275,17890,2018-05-02 14:53:49,donach69,donach,,http://pbs.twimg.com/profile_images/795408229857628160/S77rVIRT_normal.jpg,en,,
487834443,991617533194227712,530,292,17,14,74629,503,42241,2018-05-02 14:56:03,HasanCucuk,Hasan Cücük,Journalist - Gazeteci yedek hesabım @HasanCucuk1,http://pbs.twimg.com/profile_images/935587884702294018/zOJgvVLf_normal.jpg,tr,Copenhagen ,http://tr724.com
911604369551917061,991692803041316865,0,0,0,0,692,712,14472,2018-05-02 14:56:03,Safi92834616,Safi,yalan bir dünyada oyalan dur zavallı insan....,http://pbs.twimg.com/profile_images/965292811544334336/xDJEZTN2_normal.jpg,tr,"Taufkirchen, Deutschland",
4341845536,991694254278959104,0,0,0,0,4561,1140,51655,2018-05-02 15:01:49,sosyalmedya661,SOSYAL MEDYA,"Takipçi sayısı derdim yok! Evrensel değerlere inanmayan, adil-bağımsız yargılama olmadan insanlara terörist diyen pislikler takip etmesin!",http://pbs.twimg.com/profile_images/842753848787828737/Azq8uPXv_normal.jpg,da,,
311118058,991664937457070080,81,41,2,0,8099,3563,4703,2018-05-02 15:15:27,Murat_Macit58,Murat Macit,"Seccadesini memleket sayanın gurbet derdi olurmu hiç! Görüşlerimin bağı yoktur, bu nedenle kimseyi bağlamaz",http://pbs.twimg.com/profile_images/977846886106320896/6ysZlRM-_normal.jpg,tr,Köln Almanya,
761666619617714176,991697685215432704,0,0,0,0,48,87,3784,2018-05-02 15:15:27,Kemalnen1,ilhan coskun,İMAN VARSA ÜMİTDE VARDIR. HAYAT UMUTDUR.,http://pbs.twimg.com/profile_images/761668586062614528/4d16vkbY_normal.jpg,en,,
2596413645,991512017667174400,314,519,30,19,103396,7964,155102,2018-05-02 15:21:01,carrieksada,Carrie ❤️ America 🇺🇸,"“To disarm the people, is the best and most effectual way to enslave them” ~ George Mason #2ADefenders #NRA #MAGA #KeepAmericaGreat #CCOT #VetsFirst",http://pbs.twimg.com/profile_images/974741035669585920/-hDq76yF_normal.jpg,en,"California, USA",
226224091,991699086108577792,0,0,0,0,620,697,26618,2018-05-02 15:21:01,12th_Mann,America First,#llarmy #codeofvets #DemocratsHateAmerica #StayTogether #GOP2018 #KatesWall,http://pbs.twimg.com/profile_images/967465025202876417/ysJeGW6D_normal.jpg,en,America,
738153522277945344,991476607251460096,204,269,5,3,19706,13217,61935,2018-05-02 15:25:22,dawg_lb,Buddy dawgmadd  Wise,"Constitution/1A/2A, Military/Vets, Economic Growth/Fair Trade, Fiscal Mgt, #MAGA,#SecureBorders,#CCOT, #WETHEPEOPLE LIST=BLOCK RT NOT ENDORSEMENT, #dog_lb",http://pbs.twimg.com/profile_images/834139501819596800/slmjJcW0_normal.jpg,en,WE THE PEOPLE NATION,
562879928,991700180813656065,0,0,0,0,2025,1790,26377,2018-05-02 15:25:22,broll1820,bevo,"God, family, Texas, USN vet, USA MAGA!! put me on a list= blocked",http://pbs.twimg.com/profile_images/991081035172581376/tcVh5bol_normal.jpg,en,"Austin, Texas",
871909680452444161,991558444195991552,52,219,9,0,21472,4893,724,2018-05-02 15:31:35,HenyolG,Henyol García,NERI😘,http://pbs.twimg.com/profile_images/983471933848244225/d6TYmv-i_normal.jpg,es,México,https://www.instagram.com/vivanconerigarcia/?hl=es-la
981737728273534976,991701745293254656,0,0,0,0,13,302,148,2018-05-02 15:31:35,arturov95978783,arturo valdes,,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,es,,
2294131202,991553694788476928,592,786,118,11,83591,203,17647,2018-05-02 15:36:41,gulecyuzk,Kâzım Güleçyüz,Yeni Asya Gazetesi Genel Yayın Yönetmeni Kâzım Güleçyüz'ün Resmi Twitter Hesabıdır.,http://pbs.twimg.com/profile_images/928234380178481152/4eIXiMm9_normal.jpg,tr,,http://yeniasya.com.tr
597769317,991703028767051777,0,0,0,0,40267,5423,61054,2018-05-02 15:36:41,GelBahar1,Acz-i Mutlak,"Hiç bir şey yoktur ki, O 'nu hamd ile beraber tesbih (tenzih) ediyor bulunmasın. İsra Suresi, 17 / 44 Seyyit Kutup:",http://pbs.twimg.com/profile_images/943725507874566144/Bnt0BMXN_normal.jpg,tr,Mümin münafıktan özür dilemez.,
2481491973,991703421207154688,1,1,0,0,130,129,1871,2018-05-02 15:41:50,cappedallday,smitty_hustle,Capping all sports all day. Watch Out!,http://pbs.twimg.com/profile_images/973903083452424192/Z4Nogrmd_normal.jpg,en,"Boston, MA",
897619242,991704324773433345,0,0,0,0,27847,501,65120,2018-05-02 15:41:50,PinnacleSports,Pinnacle,The world’s sharpest bookmaker sharing unique betting insight and explaining how betting works. Gamble responsibly.,http://pbs.twimg.com/profile_images/738330270022012928/yG3HwaeQ_normal.jpg,en,,http://www.pinnacle.com
3438438843,991640533771534337,126,104,7,5,23577,95,1661,2018-05-02 15:43:48,DanishMan06,Ankara Kulisi,Bir Vatansever,http://pbs.twimg.com/profile_images/914860543227416577/gJHm0geh_normal.jpg,tr,,
783003310219464704,991704819696975872,0,0,0,0,2331,2158,22718,2018-05-02 15:43:48,yeni_umitler,Abdullah,Your account has been withheld in Turkey in response to a legal demand. Learn more.,http://pbs.twimg.com/profile_images/858071301839310848/-0u-bY1d_normal.jpg,tr,United States,
3685392135,991557250656407552,6,8,0,0,18867,6052,22374,2018-05-02 15:47:39,bahardemir132,bahar demir,Kalp Solda Atar Ritmi Dinleyin!  Fenerbahçe Sevdalısı!,http://pbs.twimg.com/profile_images/971692272281640960/KGaKoWdN_normal.jpg,tr,,
945534542424756226,991705788602310656,0,0,0,0,82,176,10090,2018-05-02 15:47:39,DaxAdami,Dax adami,Ez kurdistanimé,http://pbs.twimg.com/profile_images/964838217055985669/hWsFBRI9_normal.jpg,fr,"Saint-Raphaël, France",
57039681,991431323716857857,48,33,14,9,1173548,50,369583,2018-05-02 15:47:48,stargazete,Star Gazetesi 🇹🇷,Milli İradenin Sesi - Star Gazetesi Resmi Twitter hesabıdır https://www.facebook.com/stargazete https://www.instagram.com/stargazete,http://pbs.twimg.com/profile_images/886854761839960065/CMbMrTMl_normal.jpg,tr,Turkiye,http://www.star.com.tr
526110917,991431912953733121,119,90,10,2,80777,2037,334207,2018-05-02 15:47:48,mehmetcheliklv,LETONYA MUHTARI ®,Diplomasız Muhtar,http://pbs.twimg.com/profile_images/827725953400971264/6sy3AJzx_normal.jpg,tr,,
412463058,991705826359377922,0,0,0,0,100,114,8516,2018-05-02 15:47:48,HamzaAvci3,Hamza Avci,,http://pbs.twimg.com/profile_images/498116953211289602/L8WYWc9W_normal.jpeg,nl,,
954124423,991705917476474881,8,11,1,0,217645,5887,47227,2018-05-02 15:49:56,AmyMek,Amy Mek,"God, Family & Country; Sports Fitness & Vegan; Psychotherapist & Fixer; I Fight 4 the Wrongfully Incarcerated & Animals #RAIR #RAIRFoundation #NRA #Trump 🇺🇸",http://pbs.twimg.com/profile_images/677625882924699650/nIWmm6ug_normal.jpg,en,NYC,http://rairfoundation.com
971604575701565441,991706363205210112,0,0,0,0,285,598,3287,2018-05-02 15:49:56,mamareshell1,🌸🌺Rachel 🌼🌻,A wife and mother of four beautiful children. A proud catholic! Jesus Christ is LORD!! TEAM JESUS no matter what #FORDNATION #TEAMFORD PRO LIFE PRO LIFE,http://pbs.twimg.com/profile_images/989956457301979147/p11ZKSXH_normal.jpg,en,"Ontario, Canada",
954124423,991705917476474881,11,12,2,0,217645,5887,47227,2018-05-02 15:50:14,AmyMek,Amy Mek,"God, Family & Country; Sports Fitness & Vegan; Psychotherapist & Fixer; I Fight 4 the Wrongfully Incarcerated & Animals #RAIR #RAIRFoundation #NRA #Trump 🇺🇸",http://pbs.twimg.com/profile_images/677625882924699650/nIWmm6ug_normal.jpg,en,NYC,http://rairfoundation.com
313246922,991706438723686403,0,0,0,0,175,285,9627,2018-05-02 15:50:14,shashi0828,Shashi,,http://pbs.twimg.com/profile_images/849390468995657730/w2k4Dkxb_normal.jpg,en,,
954124423,991704664403046400,74,46,17,6,217650,5887,47227,2018-05-02 15:53:15,AmyMek,Amy Mek,"God, Family & Country; Sports Fitness & Vegan; Psychotherapist & Fixer; I Fight 4 the Wrongfully Incarcerated & Animals #RAIR #RAIRFoundation #NRA #Trump 🇺🇸",http://pbs.twimg.com/profile_images/677625882924699650/nIWmm6ug_normal.jpg,en,NYC,http://rairfoundation.com
832441166058500096,991707197867356160,0,0,0,0,263,231,15670,2018-05-02 15:53:15,HyHeLi123,HyHeLi,,http://pbs.twimg.com/profile_images/842951837674160128/teh21oLQ_normal.jpg,en,"Washington, USA",
487834443,991689003408740352,32,20,4,0,74631,503,42241,2018-05-02 15:59:12,HasanCucuk,Hasan Cücük,Journalist - Gazeteci yedek hesabım @HasanCucuk1,http://pbs.twimg.com/profile_images/935587884702294018/zOJgvVLf_normal.jpg,tr,Copenhagen ,http://tr724.com
929420084682067969,991708695242342402,0,0,0,0,43,244,1963,2018-05-02 15:59:12,DizaynDilan,dizayndilan,OHAL den sonra bu hale geldim,http://pbs.twimg.com/profile_images/929439903863267328/BBLW1fxT_normal.jpg,tr,,
1494034783,991521489731182592,53,191,30,40,760822,31,168410,2018-05-02 16:01:02,DikenComTr,Diken,Yaramazlara biraz batar! - Diken Gazetesi resmi Twitter hesabı,http://pbs.twimg.com/profile_images/654394513092427777/8kdyrydn_normal.png,tr,,http://www.diken.com.tr
248829087,991698032214396928,14,8,3,0,220443,1518,50924,2018-05-02 16:01:02,ahamitbilici,Abdülhamit Bilici,Özgür Zaman Gazetesi son GYY (Last Editor in Chief of Zaman) #Cihan #TodaysZaman #Aksiyon #Irmak #democracy #media #Islam #Hizmet #Turkey #EU #İstanbul #Erzurum,http://pbs.twimg.com/profile_images/886800022024728576/Fvay_vDJ_normal.jpg,en,,
2385672272,991709156645236736,0,0,0,0,139,204,5389,2018-05-02 16:01:02,AsumanAntepli,Asuman Antepli,Register Nurse.,http://pbs.twimg.com/profile_images/937172698442149888/Rbkf22Bm_normal.jpg,en,,
326003773,991708914029940736,4,4,0,0,258891,34,5659,2018-05-02 16:01:43,osimsek_herkul,Osman Şimşek,Hem asıl hem de yedek hesaplarım diktatörlük tarafından Türkiye'de engellendi. Paylaşımlarımı https://t.co/dBnlON7APS üzerinden takip edebilirsiniz.,http://pbs.twimg.com/profile_images/764635441945579524/SNyfig3b_normal.jpg,en,"Saylorsburg, PA, USA",
761337419392290816,991709328611725312,0,0,0,0,100,332,1967,2018-05-02 16:01:43,Khalid80872414,Khalid,,http://pbs.twimg.com/profile_images/764859325764538368/9qOomW3D_normal.jpg,nl,,
